x,Curve1
299.42,6.093
303.89,6.817
310.59,8.746
315.06,9.296
320.64,11.641
351.88,25.389
356.35,28.404
366.38,37.087
368.6,40.102
371.95,43.116
374.17,46.131
378.63,52.04
381.97,55.055
384.2,58.07
387.54,61.085
388.65,62.653
389.77,63.979
392,65.668
394.23,66.994
396.46,68.682
397.57,70.009
399.8,71.577
402.03,73.024
405.38,74.592
407.61,75.918
409.84,77.365
410.96,77.486
414.3,78.813
418.77,80.26
419.89,80.38
425.47,81.587
432.17,82.793
434.41,82.913
443.34,83.878
452.28,84.602
454.51,84.843
464.56,85.808
472.38,86.653
482.44,87.377
505.9,88.704
505.9,88.704
532.71,89.308
532.71,89.187
556.17,89.791
559.53,89.911
584.11,90.394
586.34,90.395
609.8,90.998
613.15,91.119
636.62,91.723
639.97,91.843
662.31,91.964
666.78,91.844
690.25,91.121
696.95,91.121
713.71,90.157
720.42,89.554
733.83,88.228
740.54,87.505
751.71,86.179
757.3,85.094
767.36,83.647
769.6,83.165
772.95,82.562
781.9,80.633
785.25,79.909
790.84,78.583
797.55,77.136
802.02,75.81
807.61,74.363
810.97,73.639
817.68,71.589
821.03,70.866
827.74,68.695
833.33,66.887
836.69,65.922
843.4,64.113
845.63,63.028
853.46,60.375
854.58,60.134
861.29,57.481
862.41,57.24
870.24,54.588
870.24,54.587
875.83,52.538
878.07,51.694
883.66,49.644
885.9,48.8
893.73,45.906
902.67,43.012
910.5,40.118
918.33,37.345
928.4,33.727
936.23,30.833
940.7,28.542
949.65,25.648
961.95,22.031
972.01,19.258
982.08,16.484
993.26,13.711
999.97,12.144
1012.26,9.491
1015.62,8.767
1030.15,6.235
1046.92,3.824
1065.92,1.775
1089.38,0.328
